observed,lower,mean,upper,current_parcel,parcel_type,idx
0.25217440706631383,-0.05475651854783725,0.07947962447902562,0.2137157675058885,RH_Cont_Par_4,activated,1
0.2566349280270181,-0.0005734556961420334,0.12810603077751184,0.2567855172511657,RH_Cont_Par_5,activated,2
0.2610554866689908,0.03403675124453104,0.15802187344546684,0.28200699564640264,RH_Cont_Par_2,activated,3
0.28438668108061405,0.06798567525966225,0.18235827514374064,0.296730875027819,RH_Cont_PFCl_15,activated,4
0.3026234173082126,0.09310335282007116,0.19711853519787065,0.3011337175756701,RH_DorsAttn_Post_15,activated,5
0.2956981864953557,0.1174510224609747,0.216077471745049,0.3147039210291233,LH_DorsAttn_FEF_2,activated,6
0.295670805026508,0.13413493295665455,0.22593604181393734,0.31773715067122016,LH_Cont_Par_5,activated,7
0.29360140837264365,0.14941581262355838,0.23415041219177365,0.31888501175998885,LH_Cont_Par_6,activated,8
0.29045902592310624,0.15863503701972687,0.2435734002812577,0.3285117635427885,RH_Cont_PFCl_14,activated,9
0.287927994003835,0.1670408524204537,0.24792850540202035,0.32881615838358697,RH_Cont_Par_6,activated,10
0.29375537872917085,0.18100366709110127,0.25849639920483736,0.33598913131857344,RH_Cont_PFCl_11,activated,11
0.3026580229788017,0.1853867178621638,0.2618946995778462,0.3384026812935287,LH_Cont_pCun_2,activated,12
0.31858637005166496,0.19540904843833476,0.26776835964783097,0.3401276708573272,LH_DorsAttn_Post_9,activated,13
0.31077219406373696,0.20606840791544395,0.2739408320719679,0.3418132562284918,LH_Cont_Par_4,activated,14
0.30535165831932065,0.20926008933978366,0.2772475708731098,0.34523505240643604,RH_Cont_Par_1,activated,15
0.3002622844180043,0.21824376672536006,0.281551958310875,0.3448601498963899,LH_Cont_PFCmp_1,activated,16
0.29889079892672105,0.22142702754237698,0.2837891636558239,0.34615129976927084,RH_DorsAttn_FEF_2,activated,17
0.2949370940035169,0.22503437272920668,0.28747409870954604,0.3499138246898853,RH_Cont_PFCmp_2,activated,18
0.2906264313287967,0.2314518459738196,0.2907206802909574,0.3499895146080952,RH_DorsAttn_Post_8,activated,19
0.2928465398325306,0.23409958719394924,0.29405783455859924,0.35401608192324924,RH_DorsAttn_Post_11,activated,20
0.28630166237167,0.23316514278387296,0.29416174158418595,0.3551583403844989,RH_Cont_pCun_2,activated,21
0.2825821408439543,0.2370222633278141,0.2958929717821865,0.35476368023655896,LH_DorsAttn_FEF_4,activated,22
0.2875883773208269,0.2423038273169964,0.2987081586962903,0.3551124900755842,LH_Cont_Par_3,activated,23
0.2841711526037164,0.244416053238994,0.30143793305942634,0.35845981287985873,LH_Default_PFC_20,activated,24
0.295420374093378,0.2472569713360312,0.3024492094936109,0.3576414476511905,RH_SalVentAttn_FrOperIns_5,activated,25
0.3086352252739064,0.2491464753579747,0.3044031444325019,0.3596598135070291,LH_Default_pCunPCC_2,deactivated,26
0.30942760275030257,0.2528784357754113,0.30532594555757003,0.35777345533972865,RH_SalVentAttn_TempOccPar_7,activated,27
0.30904392046103857,0.2554028395185422,0.3072168603309227,0.3590308811433032,RH_Cont_PFCl_5,activated,28
0.30827305102084884,0.25702395916641424,0.3086589004024531,0.3602938416384919,LH_Default_PFC_24,activated,29
0.3089278033905103,0.2575818246345385,0.31037150870592994,0.3631611927773213,LH_Default_pCunPCC_10,activated,30
0.3135984467718184,0.25820583469167263,0.3100367331074796,0.36186763152328655,RH_Cont_PFCl_9,activated,31
0.31100529766732354,0.2624466749077177,0.31314385993815563,0.3638410449685936,RH_SomMot_9,deactivated,32
0.3056628391355733,0.2598525134607162,0.31110596290779075,0.3623594123548653,LH_SalVentAttn_FrOperIns_3,activated,33
0.2967448331172854,0.2633511283793568,0.3133570325437677,0.36336293670817854,RH_Default_PFCdPFCm_12,activated,34
0.3023252608371064,0.2666324214264576,0.3158428689649821,0.3650533165035067,RH_SalVentAttn_PFCl_1,activated,35
0.3027035947224924,0.2682105509115986,0.3164337736373893,0.3646569963631801,RH_SalVentAttn_Med_4,activated,36
0.3023401073603595,0.2675181885036051,0.3170041126675848,0.3664900368315645,LH_Cont_PFCl_4,activated,37
0.30964757858804776,0.2687996679453105,0.3173354915815421,0.3658713152177737,RH_Cont_PFCl_3,activated,38
0.3181910062362915,0.2679594211886124,0.3170761538582646,0.3661928865279168,RH_Cont_Par_3,activated,39
0.3111080655040826,0.2688655202102105,0.31837752105122663,0.3678895218922428,RH_Cont_PFCl_13,activated,40
0.3128993608482804,0.268889298444047,0.3181570023942146,0.36742470634438223,LH_Default_Par_7,activated,41
0.31221592972796863,0.27172687888889896,0.3197521428007853,0.3677774067126716,LH_Cont_pCun_1,activated,42
0.3161159186166617,0.2708445130943469,0.3193122839290292,0.3677800547637115,RH_Cont_PFCmp_1,activated,43
0.3134512826111253,0.27270352249863433,0.320478505229064,0.3682534879594936,LH_DorsAttn_Post_13,activated,44
0.33364727481856643,0.27122997385595443,0.31910999733574114,0.36699002081552784,LH_Default_pCunPCC_3,deactivated,45
0.3376260892555661,0.2737334733106772,0.32004035240209056,0.3663472314935039,RH_Cont_PFCv_1,activated,46
0.3385663014934551,0.2754213991687479,0.3210211501974306,0.3666209012261133,RH_Default_Par_5,activated,47
0.3467492608358261,0.27447373414285703,0.3214468422653093,0.3684199503877616,RH_Cont_PFCl_12,activated,48
0.34638262644013296,0.2746521617573481,0.32229766918352176,0.3699431766096954,LH_SalVentAttn_FrOperIns_7,activated,49
0.3460158854547468,0.2729765073552963,0.3218020211299883,0.37062753490468026,LH_Cont_OFC_1,activated,50
0.3527256116961988,0.2766904465742967,0.32275054948742443,0.36881065240055216,RH_Vis_22,deactivated,51
0.3548462849226287,0.27698484584813143,0.3232639784093859,0.3695431109706403,LH_Vis_2,deactivated,52
0.3481345245557558,0.27588845956395264,0.3232457107583586,0.3706029619527646,RH_Cont_Temp_1,activated,53
0.355935456137221,0.2774780425387675,0.32334477182816873,0.36921150111757,LH_Cont_PFCl_5,activated,54
0.3620156731244319,0.2768439064859982,0.3228173308779759,0.3687907552699536,RH_Default_Par_4,activated,55
0.3648411969373699,0.28083233627571474,0.3252707515641867,0.3697091668526586,LH_Default_PFC_2,deactivated,56
0.3594566134709569,0.2795796553551685,0.32473859040014863,0.3698975254451288,RH_SomMot_11,deactivated,57
0.358464811180962,0.2752554555092667,0.323222659844875,0.3711898641804834,RH_SalVentAttn_FrOperIns_8,activated,58
0.3564315402691109,0.2779532068625795,0.3252222873283026,0.3724913677940257,RH_SomMot_12,deactivated,59
0.3496950642234504,0.2782838599959582,0.324159107735266,0.3700343554745737,RH_Vis_2,deactivated,60
